Command,Type,SeqNum,Preamble,TrackStatus,TimeDate,ElapsedTime,LapsToGo,TimeToGo
H,New,24953,R.I,Unflagged,5/26/2019 12:30:22 PM,00:00:00,200,00:00:00
H,New,24954,R.I,Unflagged,5/26/2019 12:30:23 PM,00:00:00,200,00:00:00
H,New,24955,R.I,Unflagged,5/26/2019 12:30:24 PM,00:00:00,200,00:00:00
H,New,24956,R.I,Unflagged,5/26/2019 12:30:25 PM,00:00:00,200,00:00:00
H,New,24957,R.I,Unflagged,5/26/2019 12:30:26 PM,00:00:00,200,00:00:00
H,New,24958,R.I,Unflagged,5/26/2019 12:30:27 PM,00:00:00,200,00:00:00
H,New,24959,R.I,Unflagged,5/26/2019 12:30:28 PM,00:00:00,200,00:00:00
H,New,24960,R.I,Unflagged,5/26/2019 12:30:29 PM,00:00:00,200,00:00:00
H,New,24961,R.I,Unflagged,5/26/2019 12:30:30 PM,00:00:00,200,00:00:00
H,New,24962,R.I,Unflagged,5/26/2019 12:30:31 PM,00:00:00,200,00:00:00
H,New,24963,R.I,Unflagged,5/26/2019 12:30:32 PM,00:00:00,200,00:00:00
H,New,24964,R.I,Unflagged,5/26/2019 12:30:33 PM,00:00:00,200,00:00:00
H,New,24965,R.I,Unflagged,5/26/2019 12:30:34 PM,00:00:00,200,00:00:00
H,New,24966,R.I,Unflagged,5/26/2019 12:30:35 PM,00:00:00,200,00:00:00
H,New,24967,R.I,Unflagged,5/26/2019 12:30:36 PM,00:00:00,200,00:00:00
H,New,24968,R.I,Unflagged,5/26/2019 12:30:37 PM,00:00:00,200,00:00:00
H,New,24969,R.I,Unflagged,5/26/2019 12:30:38 PM,00:00:00,200,00:00:00
H,New,24970,R.I,Unflagged,5/26/2019 12:30:39 PM,00:00:00,200,00:00:00
H,New,24971,R.I,Unflagged,5/26/2019 12:30:40 PM,00:00:00,200,00:00:00
H,New,24972,R.I,Unflagged,5/26/2019 12:30:41 PM,00:00:00,200,00:00:00
H,New,24973,R.I,Unflagged,5/26/2019 12:30:42 PM,00:00:00,200,00:00:00
H,New,24974,R.I,Unflagged,5/26/2019 12:30:43 PM,00:00:00,200,00:00:00
H,New,24975,R.I,Unflagged,5/26/2019 12:30:44 PM,00:00:00,200,00:00:00
H,New,24976,R.I,Unflagged,5/26/2019 12:30:45 PM,00:00:00,200,00:00:00
H,New,24977,R.I,Unflagged,5/26/2019 12:30:46 PM,00:00:00,200,00:00:00
H,New,24978,R.I,Unflagged,5/26/2019 12:30:47 PM,00:00:00,200,00:00:00
H,New,24979,R.I,Unflagged,5/26/2019 12:30:48 PM,00:00:00,200,00:00:00
H,New,24980,R.I,Unflagged,5/26/2019 12:30:49 PM,00:00:00,200,00:00:00
H,New,24981,R.I,Unflagged,5/26/2019 12:30:50 PM,00:00:00,200,00:00:00
H,New,24982,R.I,Unflagged,5/26/2019 12:30:51 PM,00:00:00,200,00:00:00
H,New,24983,R.I,Unflagged,5/26/2019 12:30:52 PM,00:00:00,200,00:00:00
H,New,24984,R.I,Unflagged,5/26/2019 12:30:53 PM,00:00:00,200,00:00:00
H,New,24985,R.I,Unflagged,5/26/2019 12:30:54 PM,00:00:00,200,00:00:00
H,New,24986,R.I,Unflagged,5/26/2019 12:30:55 PM,00:00:00,200,00:00:00
H,New,24987,R.I,Unflagged,5/26/2019 12:30:56 PM,00:00:00,200,00:00:00
H,New,24988,R.I,Unflagged,5/26/2019 12:30:57 PM,00:00:00,200,00:00:00
H,New,24989,R.I,Unflagged,5/26/2019 12:30:58 PM,00:00:00,200,00:00:00
H,New,24990,R.I,Unflagged,5/26/2019 12:30:59 PM,00:00:00,200,00:00:00
H,New,24991,R.I,Unflagged,5/26/2019 12:31:00 PM,00:00:00,200,00:00:00
